id,text,author.id,author.public_metrics.followers_count
b'gAAAAABkk1Q0lQ9cXELaJh4NEuvhAdo0BsFtbGfkKK5nbpC3AUigWS3JOpFZVymKU4qjyNLmYO63GZx4oZicSDXcFqi3WakSw4bB6rioAqPJhrM878z7AB4=',Hatte heute einen veganen Caesar Salad und swi das war das ekligste das ich seit langem gegessen habe https://t.co/8zyutdkmNK,b'gAAAAABkk1Q087RzQ1LH9DIlvKg5he_3sCsYpigh2L5ttbfx311llwNMoEx8vJqn8eRTpp8HpyiGc0NubenZKU8tBBuaDLH_2ER0vLis0atfysKc3_Gp1cM=',999
b'gAAAAABkk1Q0SndT4jHPNhtqz1RRQBYaf2GlN72BGzhR5vtZPoxNoahLz-B9pvTZhHJEWGPfkpMIz1mL5qQeKY2LgZqF8fqiVJfV7JA4X9cbCMfL9DwWpFk=',"@hagebuttenwolf @genietervan Hier nur ein Bananenbrot, natürlich auch vegan, aber vielleicht nicht ganz so lecker?",b'gAAAAABkk1Q0KDrhN_Dlz5QU-MkOXgwkjda9blhnhQELyty4TSA2kv1Kdwsu5KPtDr08XhSGubg7EDMSoJgZEF5yWE3UQEhqfg==',2998
b'gAAAAABkk1Q0n6YKfaJw2JwYcLpZR574HtZcFam5tmSySi1GG8CJoxFXOjk-7PFwXCNIit9wwTbYk_6ZPEkpFzy9VB6Aim_I003t8WaJr4CbkPpwjZ7ti4k=',@roggi_ultra_no1 Aber die vegane Weißwurst ist mehrwertsteuerfrei. Söder jagt die AKWs eigenhändig in die Luft aus Protest dagegen,b'gAAAAABkk1Q05B3pHdwVV9idc6nu0k-qQyuL22nAN0oUAcCflqZnKA7ZyYd2z46KPNKgy4IaOcxLPNYWcMesXvrCqmDFxl8C6Q==',3127
b'gAAAAABkk1Q01eN2vuOAcu3sEvgiP9hscwO_QPEFP4z-5XrQ3kXu-5EjEQ-GZ6CDIX10_ZP9qi37mPp5RHzwbDPyNPhxEfFTXWjfjTpapZALCwJB1Dv3U7w=',"Ich sitz bei Ben und Jerry's in Clearwater, Florida und esse genüsslich ein veganes Eis, während im Radio Linkin Park läuft.\nDen Moment bitte einmal in ein Einmachglas zum mitnehmen 🥰\n\n#MaianaHoliday",b'gAAAAABkk1Q0mI9KgwW7VKhtsTYNkfNUEwAyb4WDMokoMNX77V-u8WQtnSg7A_XTRWuNw4BPattWOc0Q5cyiwZbX6Iufo1TqAQ==',280
b'gAAAAABkk1Q0Z2GQwJB9ucoXmC6Az4rg4LBSDms_uolCp5kjoUN9dPTAzNrFgFpELDOR3qcTXmDaZCX_oNLblki6fjYqxkpjuXb_2W0hGIXCvzdWfPLAHB8=',@justthore Nix für Veganer,b'gAAAAABkk1Q0DENQqBdqCEE4jaxxxCkDyiVPat6X-k7jsICboOs6LiE9VdEkPdEL88F9SJWd4H2zWQjLV0DI1kMODC-xEnEKwA==',549
b'gAAAAABkk1Q03g1toD7HPHZt6iLQDex0AdqUSpBiFuK1uKml_jGBdF2Hs9UEYpDVqP5F0URqYtTK3D1655AlgHolSQfqL2sANJkm9wU4uE8krQWPbCN17Y0=',"Ist man Hetero, ist es falsch\nIst man ein Teil der LGBTQ+, ist es flasch\n\nIsst man Fleisch, ist es falsch \nIst man vegan, ist es falsch\n\nFazit für mich:\nIch bin falsch, so wie ich bin\n\nSee ya",b'gAAAAABkk1Q0KyDAAFgn7Jkl-cyDwaN-71ED06xqMtET5i5PDwTyU1pRzybnL2FFfRLi7nEK45oJ3qxJUE6Ap-DtmJQuqfBlDImB0vQlD7wlZGfPVMVbG8s=',547
b'gAAAAABkk1Q0V-6n9Mf00IyAJ2UZ2QzHMkYozaAPjppdGYhf6PV6ztiW34DeLX6DjKIF-nbp7PEsWQ0hxHFiNeFqHQnnBHbcG3Bx8M9ROo77YMnSlpC-rQA=',"@rbbabendschau @TUBerlin Mit Verlaub, habt ihr den arsch offen? Nicht weil der Döner wahlweise vegan ist sondern vom Preis her. Es muss umgehend eine Dönerpreis Bremse her!",b'gAAAAABkk1Q01YN1XiWL5eicJdHmYOPQ5ufeLIbkmnnCXrQPaV7CtXyXiWgdGGynCNXuCMjKZZPAQdBSF3M9f84CBXSkdFreWmg8hMpU1j5-_EZp3ZHql8M=',215
b'gAAAAABkk1Q0U2WoFw1TYdwLKRU9BjtfhCbc0sbNpMcUaAl_h899TuIpc39n-UWbzQLWn5Jx7oUiZtqZncISqSY_d3DkxQYSu1aGFK_NPXHkmPRZP_O5lIE=',"Im Ostergeschäft nun sind auch Hühnereier nicht nur teuer, sondern auch noch knapp. Ein Berliner Startup will das vegane Ei als Alternative etablieren.\n\nhttps://t.co/4ZPVgkiRJ6",b'gAAAAABkk1Q0K5VnZjB3_VYkt4hJVirZ0d1EEJl5K85FHuP94zZ3cLc-d4Ne8UKm9wJHN4xxE3NpS1HT0rlKvJiUd10cbg0Jnw==',136910
b'gAAAAABkk1Q0JaJB6vpmIcU9mb-UFybb6RMwvMNpFQy4fsZcNT8Zj936mMUMUAXt-uZvKtm_Y7yOSNALu-LCb5xZ0fM0GRjWjgYuQdLWqN-NTLemieV6qEQ=',@MullerBoje Nix...habe kein Vermögen immer Klimagerecht gelebt.Halte Demokratie für  das Beste was wir haben.Und fabrizieren weder viel Müll u lebe Vegan ...Also Alles im grünen Bereich 👍,b'gAAAAABkk1Q0eLquFbM3_RXCpxMC3NNQl-XyMBS0BeWQEEiL1v4k8ja6HFZGoY8ZDjSBwz7EEbN-nohOe67XW38hy5jxIs_FbuDMv7-8o99WkiAP1QbQhrE=',305
b'gAAAAABkk1Q08UvOtmCnh3LctG14UPpoB3XOc6Ldo4sh1Ev_pJ7butr1vJhiW2MfzIAHFrex3tNjRoIMh6RFx6Tv1H_lOY33AxNSTfMkOspUiEDGifJl_V0=',"@Dorimukyatcha Das Alex am Alex hat ein Buffet, aber ehrlich ich würde einfach gucken was am Boxhagener Platz ist, da gibt es einfach alles, ob vegan, ob Café nur mit 20 verschiedenen Käsekuchen Sorten oder herzhafter Brunch. Samariter Straße / Boxi is best ☺️👌",b'gAAAAABkk1Q0LMWPVSr-A7-wf51SgW4TtHyv_TDQiPHiRqoT_ko8UesB9lPAQnDKjCMNQyIdgoQxVBDsMUhwpe4TR8XCiOiYmQ==',587
b'gAAAAABkk1Q0FVSArgcVigjktZS1CsqgRgpF5zmMGLKW0jEwUovQ1FgdusdGM6Abo6fjUeu3MQL0pk1c4gLF_grYWeegVKBFXRnz_M5MnAFYOzBaK2PGVzs=',"@goran_jovanic @alf_frommer Zur Präzisierung: Mit Sandkastenlinken meine ich solche, die statt Linke, SPD oder Grüne (ja, man kann Linksheit diskutieren) irgendwelche Splitterparteien zu Partikularthemen (Klima, vegan, Tierschutz, Rechtsökologen etc)  wählen, die nur die Menge der linken Stimmen schrumpfen.",b'gAAAAABkk1Q0KZhjSTr41Q8zswQ86Myk5m_eRL9rMdGTLhj_08oa2IvZGJ25hp-3NGDCmBQyotJYJE3dsmbE_6e17Rjde_s1Ag==',7123
b'gAAAAABkk1Q0XPGVoythAwIrxbBoDLGbuaoJSq6NjK7FLI8syUuF95jORDxgJO0GCD1nQude_7s3DpKNKnsc98ZaYFqZdfImd8zx68gRYPdhVFLks9kUD7A=',"Ich werde sicherlich kein Veganer mehr, aber wir testen immer wieder Produkte. Die Majo, es gibt keine bessere für mich. Die Vurst, völlig okay. Die vegane Butter geht auf dem Brot, nicht zum Braten. Der „Käse“ ist mild und okay fürs Sandwich, Gouda ist als Vorbild aber zu groß. https://t.co/UHACnLJ1Qe",b'gAAAAABkk1Q0sgCjHAmWynNoSCQ8VPbuOYFbtn7y5MrXcGdyvVNCT_PRmVaN2-SAtUHXqzTy_QZX8PeSXrlYwkxtt0e5zVHHVA==',2171
b'gAAAAABkk1Q0k_TL8DU64FRIvfT0ezwbJu9luxd4w0yH5s7hlI-DE-AXdt7uZl7qUwDfRfY1PYRHwCpEGP1TEL8ySPhupaheNq1u21ernJYGI72zIUYVoo0=',"@harryfiat @breitenbach Aus hygienischen Gründen erscheint mir anderes wichtiger. Vegetarisch und Vegan können auch durch schlechte Hygiene verunreinigt sein und wenn es dann nicht richtig gekühlt ist, krank machen",b'gAAAAABkk1Q0s419MJyhVShI5ulUFFCNm0aJxSE-I2NnKywwof8paHmUdEao1rTK1mAmY--HQZFL5dug5KM6DkJw74AlJwLQOQ==',208
b'gAAAAABkk1Q0G9aawLVGtdGNGLQgcdiM8OXunh8v9PytizMELMctp0MIR0aS2PsX_8HAbGMradaijxj89-0_9m99zNXjp53j_acWSGpolGq61rOPt1DtZVU=',@Bicolinchen @OomenBerlin Vegan verträgt halt leider nicht jeder.🤷‍♀️,b'gAAAAABkk1Q08eKwLwIRb0u3oKJL_-zkMYJVlg7BNcfdo5QjYZxyT6d6PoHjbWImI4yWVdsDyHXbF7wpah0RsfiUX9EtD6fwjA==',59
b'gAAAAABkk1Q0sCUMkOvG-uNlnoai1Fz1xvApwzxkqfRNikIpEVPA53reI5MDSeXH8nNXhbdSzQRgkzPdEJfM2Xq9coGH2fKmpdmcBj-LRhcUFnsmrJDUlKc=',@mxlte1 @Kirtscho Manche Menschen werden unter anderem deswegen vegan weil sie das schreckliche Leid der Tiere einfach nicht mehr ertragen können und eben schon garnicht selbst daran auch noch beteiligt zu sein.,b'gAAAAABkk1Q07CpmVHbMl2KPenLk3E_EF1Zc5v0Sokq5Tkylf2_dvMgXGmq5lYCy7cZFX4J8PZgqFtkwwdJVl466xcOGYrqUTw==',1740
b'gAAAAABkk1Q06QbXtahMn6moh6H2y48usjYB6UuHZG2ZZoBAqkJOYa3UKRR5UxmVH5iWURe0tZZ2yu-V9thpsrJpO311C__5SSuYTY2CTzIaGB0bY2VYuuc=',@lanimaly5 @herrkrise @JordiBogenstein Auch etwas das vegane Ernährung sehr erschwert aber nicht unmöglich macht.,b'gAAAAABkk1Q09cYpyojS4-a3gK3ACmns8PCqtjK37QdvAwNkZFsNqeWdQVz_YJj021xRFi43f-0e5EdRuhzy2QDMBybthF1wZA==',1740
b'gAAAAABkk1Q0FXORVnSq5QJIURM4WLDY_wzrFjneu6j0DTI8GQjNYWDvHzX8rFdRsmk6C-_9D21WFJCfmv4_OquvTVxrAjYtg10Ouaj_iTtcf_Gp3bkWdYQ=',Hier haben wir 2 Hasen und beide haben Recht.\nWähle einfach einen davon der am Besten bei dir wirkt ✨:\n\n{\__/}\n( • . •)\n/ &gt; 💚  heyyy könntest du vll bitte vegan werden?\n\n{\__/}\n(ò . ó)\n/ &gt; ❤️‍🔥  DU SOLLST KEINE TIER MEHR FRESSEN DU\n              PIMMELFRATZE!!!,b'gAAAAABkk1Q06gUIM-QpwdvZ0WGow9K3hzeQXP6nOy-atvGYR19FT3Uu-BAoD7FGGXwgG31LWF1cWg3YBxpz0tuH_REJiNNJpw==',1740
b'gAAAAABkk1Q0YwLHHesNqjsc_O19bpVzMoEFF5leCZCenANc3vw92Gihei122rVrh4yvmE2a_mPgbFSIHzsXZghTDk2GW_fhJh-PChlWse8qu9ve_u8gGfg=',"@novred @RaphaelThelen Und was isst ""deine Generation"" so? Du lebst hoffentlich über 20 Jahre schon vegan.",b'gAAAAABkk1Q0dzr7dKguWvar0EZMUgA1gIXcyJp8p28E9_WVq6KvRnuxwQ2XpfA6nTyrVQ1TsTiT6imSiuxVJJXYiTRI2JldOh41RFK2cHqV_4ZamsXodnE=',127
b'gAAAAABkk1Q0CJ-IOjXq8QEpw00RAP2pJgPc71QycdcsBeLQ-vNWDNryAHUpVRYnDtvWzyw-596-LllHCiHl8Ag3Idmvd5YmO8u1WaKmTXTCMW9c0ft6sHk=',"@Birkenrinde11 Diese veganen Entendinger sind verdammt geil. Find sie sogar besser als Ente aus Tieren, weil die nicht so viel Fett und gezatter dran haben. Bin großer Fan 👍",b'gAAAAABkk1Q0_3_xHu0HIB_iIYW25oSeLIGhAwrgAPzjUZwEga4LTkwy76Ye0cxd5HiMIfuLhZGzuAti66UoIAb601lCpcvYl0C1WZUhfgOKhB2KbAyVFv8=',79
b'gAAAAABkk1Q0RUbXq9oVeO0ZPB2ax4E1JTqT90bibOCRsgreDfaf5BYveJGpgVy6NiC2N-bXoXkZFxdRy-9on1mSephj5Fi11imD4IMdAt8nUfadUKEcliU=',"Es ist unglaublich, wie sehr mir kochen und backen wieder Spaß macht seit ich mich (weitgehend, ja sorry, ich arbeite dran) vegan ernähre. Heute Abend gab es selbstgemachtes Bärlauch-Focaccia, dass einfach so unglaublich lecker aber auch easy zu machen war - ein Gedicht 🤤 https://t.co/kblVAwYYi1",b'gAAAAABkk1Q04XYSQR9OHVSCMNeOaIBE5tKB4WOkloxHX_Lxzt-mjvmrKLBKp9-GbDubHS0LN0X_9tcvVIQd6d3Kjh9t2N4adKGSUsxNxLjZxrhzYuAsSuo=',277
b'gAAAAABkk1Q0263nLWdpxXBIPwi6QyyHbE4TbrD87IDhvSkmcUoGNbBGAJSdwfIWuTioBUoVlbRR2qi5Rspt07BIDjTVn4-yA1HSVFvCPljfGtEwvwq1feA=',@ulschka Guten Morgen Ulschka ☕️☀️,b'gAAAAABkk1Q040FmKnz4vASxB20VlCMz4u7eos_25MEAWoSgCwM3haYlqJtaOKScxMxeCEtTZkS9sJN5fcMhtChCT4NzHEtxyyCXNsAKUseyDNUjVmc-VvU=',4135
b'gAAAAABkk1Q06AeqkvNGJ1WBEe8mWsVNP9ZD56j5JMglvc41vQgtfuAjSFG1_VUfBqGGET7xR-ieQfjVx9iApAE6Ba9jN4ONnyYepIIILp9Ndh78XCawgAc=',@bigm1lk @patricklnz echt Mal,b'gAAAAABkk1Q0UlYx5CC4nIOTiOx9mVxjse471ABj1qA3cV-BlF3A_wSQh1U0XGy0lAQauyEKVjywXs3wZmJKZV5hFsN-YmmN0oTeakNCbIAKPaDsJM7U9Rk=',13399
b'gAAAAABkk1Q0BZfb3ZFKjFBYT84rUps5UuuYgB_-RYLhesMdCRf3rlq29N9rPPDVFjv_UrJl_IXdaUF9PkzZoiYllMIg4Z1ojeRxaau1TkXPnwii2_b9HXo=',"es ist wirklich hart als veganer schokolade zu kaufen für jemanden, der vermutlich alles isst, denn es ist einerseits alles uninteressant und andererseits gab es eben nicht die gewünschte große packung",b'gAAAAABkk1Q0tL-vUcGqgrdvNqT988l_PHuUIuhF4MSu2tX3MaQBLxyKb1eDmQoXRVq5bm1KaQKWQvhkOSavmSib-L9-SaDDOQ==',76
b'gAAAAABkk1Q0daUJ6fI_f7rBi6Ztfh8_xjX7W50ECeJ2gQsypN8K7LSYZx735gG25NF5gzBvm1y-hmNXFPlHxV3rXdn_b5uqHu41USxCnhxydE0wRzszLyI=',@KathaSchulze Steck dir deine hässlichen Windräder sonst wo hin.\nBayern ist kein Land für Windenergie.,b'gAAAAABkk1Q0CmwJ6ZDhmBYiVPU21EJJ1MpISJMPw7lWT7P26giCWdLlp7IMe20YI_qk3GI-gP2ozpZkTt2-wQE8vpdCuuJjLA==',1424
b'gAAAAABkk1Q0naTo7-O771Qfi75risV3xHoFMuqam4zkRfPJtDaYOoFgGrK74sv-KiTTVscwlxqAcPrXtH8dyjZoiqhio6ski50OvoH-nfEkAtxCAblXsSc=',Mehr als 1300 Tote gezählt: Entdecker von Wagner-Friedhof flüchtet aus Russland https://t.co/oPD8yfEwk9 https://t.co/Mu6nKnpXZb,b'gAAAAABkk1Q0A-AVOkLQupF5YssB_xFWzGsBq6qX1XMRCB-TYlLlbtznxiJWWsvvWcHEBkB42kTlGV0ZnLKiL5tELAd8sMn79Q==',2366
